row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,erased_rank,ambiguity_dim,failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0,165060655,"[1, 8, 12, 16, 18, 19, 23]",7,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,1,166060658,"[12, 14, 16, 20, 21]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,2,167060661,"[7, 9, 12, 19]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,3,168060664,"[2, 5, 10, 20]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,4,169060667,"[3, 7, 9, 12]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,5,170060670,"[1, 10, 12, 20, 23]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,6,171060673,"[8, 15, 16, 18, 19]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,7,172060676,"[4, 7, 9, 17]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,8,173060679,"[4, 17, 19, 20]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,9,174060682,"[5, 17, 23]",3,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,10,175060685,"[8, 13, 16, 19, 21]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,11,176060688,"[2, 9, 10, 13, 21]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,12,177060691,"[15, 16, 18, 20, 21]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,13,178060694,"[4, 7]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,14,179060697,"[1, 7, 22]",3,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,15,180060700,"[1, 11, 14, 15]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,16,181060703,"[3, 14, 17, 18, 23]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,17,182060706,"[9, 12, 20, 23]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,18,183060709,"[4, 5, 11]",3,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,19,184060712,[9],1,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,20,185060715,"[3, 5, 6, 15, 22]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,21,186060718,"[13, 15]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,22,187060721,"[8, 19]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,23,188060724,"[12, 23]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,24,189060727,"[0, 4, 8, 10]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,25,190060730,"[4, 11, 15, 18]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,26,191060733,"[0, 1, 10, 19]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,27,192060736,"[1, 2, 4, 12, 14]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,28,193060739,"[0, 1, 21, 23]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,29,194060742,"[1, 3, 12, 18, 19, 20]",6,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,30,195060745,"[4, 14, 18, 21]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,31,196060748,"[1, 5, 8, 11, 12, 19, 23]",7,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,32,197060751,"[4, 12, 17, 19, 20]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,33,198060754,"[0, 11, 12, 13, 19, 22]",6,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,34,199060757,"[4, 7, 12, 19, 21, 23]",6,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,35,200060760,"[0, 20]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,36,201060763,"[1, 12, 13, 19]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,37,202060766,[6],1,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,38,203060769,"[3, 9, 12, 16, 22]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,39,204060772,"[5, 8, 10, 12, 15, 22]",6,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,40,205060775,"[5, 6, 11]",3,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,41,206060778,"[5, 6, 15, 16, 21]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,42,207060781,[18],1,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,43,208060784,"[0, 10, 13, 15]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,44,209060787,"[4, 11, 22]",3,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,45,210060790,"[3, 9, 12, 13, 14, 15]",6,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,46,211060793,"[6, 7, 11, 18]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,47,212060796,"[4, 9, 12, 17, 22]",5,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,48,213060799,"[3, 13, 19, 23]",4,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,49,214060802,"[5, 21]",2,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,50,215060805,[3],1,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,51,216060808,"[2, 17, 19, 22]",4,4,0,0
